CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn
71073.0,27.0,Male,14.0,28.0,3.0,16.0,Standard,Monthly,862.0,9.0,1.0
230192.0,40.0,Male,19.0,2.0,8.0,28.0,Standard,Monthly,620.81,21.0,1.0
22407.0,27.0,Female,57.0,3.0,0.0,24.0,Standard,Annual,915.0,26.0,1.0
290822.0,40.0,Male,21.0,14.0,0.0,11.0,Basic,Annual,592.83,9.0,0.0
172430.0,39.0,Male,58.0,4.0,2.0,8.0,Standard,Monthly,694.0,15.0,1.0
263612.0,24.0,Male,49.0,29.0,2.0,5.0,Basic,Quarterly,992.95,17.0,0.0
436343.0,35.0,Male,25.0,21.0,2.0,1.0,Premium,Quarterly,797.47,9.0,0.0
73352.0,52.0,Female,50.0,22.0,10.0,4.0,Basic,Annual,187.0,9.0,1.0
56652.0,41.0,Female,20.0,22.0,0.0,15.0,Basic,Monthly,814.0,6.0,1.0
346111.0,22.0,Female,33.0,24.0,0.0,11.0,Standard,Quarterly,707.09,10.0,0.0
296416.0,42.0,Male,27.0,18.0,4.0,2.0,Premium,Quarterly,636.3,23.0,0.0
144287.0,44.0,Male,5.0,4.0,3.0,26.0,Basic,Monthly,178.0,5.0,1.0
256270.0,37.0,Female,2.0,21.0,6.0,16.0,Premium,Quarterly,769.48,21.0,1.0
383213.0,33.0,Female,41.0,6.0,3.0,20.0,Basic,Annual,946.32,8.0,0.0
32610.0,24.0,Male,10.0,6.0,9.0,25.0,Premium,Annual,167.0,12.0,1.0
31527.0,37.0,Female,32.0,6.0,7.0,17.0,Basic,Monthly,565.0,14.0,1.0
242324.0,63.0,Female,50.0,20.0,8.0,22.0,Premium,Monthly,723.02,17.0,1.0
275573.0,33.0,Male,1.0,2.0,3.0,16.0,Premium,Quarterly,511.09,17.0,0.0
181736.0,49.0,Female,44.0,16.0,7.0,4.0,Premium,Quarterly,419.0,7.0,1.0
387486.0,27.0,Female,60.0,14.0,2.0,12.0,Basic,Annual,910.56,12.0,0.0
310862.0,37.0,Female,2.0,29.0,2.0,8.0,Premium,Annual,788.99,13.0,0.0
365237.0,37.0,Male,51.0,20.0,1.0,3.0,Premium,Quarterly,630.9,24.0,0.0
206994.0,43.0,Male,30.0,10.0,9.0,21.0,Standard,Annual,684.8,16.0,1.0
247367.0,42.0,Male,11.0,25.0,4.0,20.0,Premium,Monthly,937.42,16.0,1.0
252984.0,28.0,Male,22.0,16.0,3.0,3.0,Premium,Annual,599.08,26.0,1.0
66102.0,22.0,Female,24.0,17.0,9.0,12.0,Standard,Annual,974.0,6.0,1.0
432654.0,21.0,Male,26.0,26.0,2.0,13.0,Standard,Quarterly,734.82,27.0,0.0
323016.0,44.0,Male,3.0,14.0,4.0,4.0,Premium,Annual,943.03,21.0,0.0
125711.0,47.0,Male,27.0,5.0,9.0,6.0,Basic,Quarterly,841.0,12.0,1.0
382673.0,44.0,Male,12.0,17.0,4.0,4.0,Standard,Quarterly,671.78,10.0,0.0
407351.0,44.0,Female,43.0,24.0,1.0,18.0,Basic,Quarterly,762.95,5.0,0.0
341021.0,42.0,Male,13.0,30.0,2.0,11.0,Premium,Annual,794.24,3.0,0.0
399175.0,31.0,Male,56.0,25.0,1.0,1.0,Basic,Annual,933.88,10.0,0.0
